nama_upt,jenis_upt,provinsi,kanwil,latitude,longitude,coordinate_quality,aktif,catatan_verifikasi
Lapas Kelas IIA Banda Aceh,Lapas,Aceh,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Jantho,Rutan,Aceh,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Sabang,Rutan,Aceh,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Sigli,Rutan,Aceh,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Singkel,Rutan,Aceh,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Takengon,Rutan,Aceh,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Tapaktuan,Rutan,Aceh,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Kerobokan,Lapas,Bali,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Karangasem,Lapas,Bali,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Singaraja,Lapas,Bali,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Tabanan,Lapas,Bali,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Narkotika Kelas IIA Bangli,Lapas,Bali,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Perempuan Kelas IIA Denpasar,Lapas,Bali,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Bangli,Rutan,Bali,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Gianyar,Rutan,Bali,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Klungkung,Rutan,Bali,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Negara,Rutan,Bali,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Pangkal Pinang,Lapas,Bangka Belitung,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Sungai Liat,Lapas,Bangka Belitung,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Tanjung Pandan,Lapas,Bangka Belitung,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Narkotika Kelas IIA Pangkal Pinang,Lapas,Bangka Belitung,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Perempuan Kelas III Pangkalpinang,Lapas,Bangka Belitung,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Muntok,Rutan,Bangka Belitung,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas I Tangerang,Lapas,Banten,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Cilegon,Lapas,Banten,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Serang,Lapas,Banten,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Tangerang,Lapas,Banten,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas III Rangkasbitung,Lapas,Banten,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Pemuda Kelas IIA Tangerang,Lapas,Banten,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Perempuan Kelas IIA Tangerang,Lapas,Banten,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Terbuka Kelas IIB Ciangir,Lapas,Banten,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas I Tangerang,Rutan,Banten,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Pandeglang,Rutan,Banten,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Serang,Rutan,Banten,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Bengkulu,Lapas,Bengkulu,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Curup,Lapas,Bengkulu,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Argamakmur,Lapas,Bengkulu,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Perempuan Kelas IIB Bengkulu,Lapas,Bengkulu,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Bengkulu,Rutan,Bengkulu,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Manna,Rutan,Bengkulu,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Yogyakarta,Lapas,D.I. Yogyakarta,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Sleman,Lapas,D.I. Yogyakarta,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Narkotika Kelas IIA Yogyakarta,Lapas,D.I. Yogyakarta,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Perempuan Kelas IIB Yogyakarta,Lapas,D.I. Yogyakarta,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIA Yogyakarta,Rutan,D.I. Yogyakarta,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Bantul,Rutan,D.I. Yogyakarta,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Wates,Rutan,D.I. Yogyakarta,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Wonosari,Rutan,D.I. Yogyakarta,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas I Cipinang,Lapas,DKI Jakarta,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Salemba,Lapas,DKI Jakarta,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Narkotika Kelas IIA Jakarta,Lapas,DKI Jakarta,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Perempuan Kelas IIA Jakarta,Lapas,DKI Jakarta,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas I Cipinang,Rutan,DKI Jakarta,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas I Jakarta Pusat,Rutan,DKI Jakarta,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas I Pondok Bambu,Rutan,DKI Jakarta,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Gorontalo,Lapas,Gorontalo,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Boalemo,Lapas,Gorontalo,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Pahuwato,Lapas,Gorontalo,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Perempuan Kelas III Gorontalo,Lapas,Gorontalo,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Jambi,Lapas,Jambi,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Bangko,Lapas,Jambi,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Kuala Tungkal,Lapas,Jambi,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Muara Bulian,Lapas,Jambi,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Muara Bungo,Lapas,Jambi,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Muara Tebo,Lapas,Jambi,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Sarolangun,Lapas,Jambi,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Narkotika Kelas IIB Muara Sabak,Lapas,Jambi,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Perempuan Kelas IIB Jambi,Lapas,Jambi,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Sungai Penuh,Rutan,Jambi,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas I Cirebon,Lapas,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas I Sukamiskin,Lapas,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Banceuy Bandung,Lapas,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Bekasi,Lapas,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Bogor,Lapas,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Cibinong,Lapas,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Cikarang,Lapas,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Karawang,Lapas,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Kuningan,Lapas,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Subang,Lapas,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Banjar,Lapas,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Ciamis,Lapas,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Cianjur,Lapas,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Garut,Lapas,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Indramayu,Lapas,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Majalengka,Lapas,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Purwakarta,Lapas,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Sukabumi,Lapas,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Sumedang,Lapas,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Tasikmalaya,Lapas,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Warung Kiara,Lapas,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Khusus Kelas IIA Gunung Sindur,Lapas,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Khusus Kelas IIB Sentul,Lapas,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Narkotika Kelas IIA Bandung,Lapas,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Narkotika Kelas IIA Cirebon,Lapas,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Narkotika Kelas IIA Gunung Sindur,Lapas,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Perempuan Kelas IIA Bandung,Lapas,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas I Bandung,Rutan,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas I Cirebon,Rutan,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas I Depok,Rutan,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Garut,Rutan,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Perempuan Kelas IIA Bandung,Rutan,Jawa Barat,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas I Batu High Risk Narkotika Nusakambangan,Lapas,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas I Semarang,Lapas,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Ambarawa,Lapas,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Besi Nusakambangan,Lapas,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Kembang Kuning Nusakambangan,Lapas,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Kendal,Lapas,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Magelang,Lapas,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Pasir Putih Nusakambangan,Lapas,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Pekalongan,Lapas,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Permisan Nusakambangan,Lapas,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Purwokerto,Lapas,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Sragen,Lapas,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Brebes,Lapas,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Cilacap,Lapas,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Klaten,Lapas,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Pati,Lapas,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Slawi,Lapas,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Tegal,Lapas,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Khusus Kelas IIA Karanganyar,Lapas,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Narkotika Kelas IIA Nusakambangan,Lapas,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Narkotika Kelas IIB Purwokerto,Lapas,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Pemuda Kelas IIB Plantungan,Lapas,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Perempuan Kelas IIA Semarang,Lapas,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Terbuka Kelas IIB Kendal,Lapas,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Terbuka Kelas IIB Nusakambangan,Lapas,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas I Surakarta,Rutan,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIA Pekalongan,Rutan,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Banjarnegara,Rutan,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Banyumas,Rutan,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Batang,Rutan,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Blora,Rutan,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Boyolali,Rutan,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Demak,Rutan,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Jepara,Rutan,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Kebumen,Rutan,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Kudus,Rutan,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Pemalang,Rutan,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Purbalingga,Rutan,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Purwodadi,Rutan,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Purworejo,Rutan,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Rembang,Rutan,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Salatiga,Rutan,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Temanggung,Rutan,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Wonogiri,Rutan,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Wonosobo,Rutan,Jawa Tengah,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas I Madiun,Lapas,Jawa Timur,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas I Malang,Lapas,Jawa Timur,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas I Surabaya,Lapas,Jawa Timur,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Banyuwangi,Lapas,Jawa Timur,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Bojonegoro,Lapas,Jawa Timur,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Jember,Lapas,Jawa Timur,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Kediri,Lapas,Jawa Timur,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Pamekasan,Lapas,Jawa Timur,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Sidoarjo,Lapas,Jawa Timur,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Blitar,Lapas,Jawa Timur,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Bondowoso,Lapas,Jawa Timur,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Jombang,Lapas,Jawa Timur,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Lamongan,Lapas,Jawa Timur,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Lumajang,Lapas,Jawa Timur,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Mojokerto,Lapas,Jawa Timur,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Ngawi,Lapas,Jawa Timur,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Pasuruan,Lapas,Jawa Timur,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Probolinggo,Lapas,Jawa Timur,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Tuban,Lapas,Jawa Timur,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Tulungagung,Lapas,Jawa Timur,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas III Arjasa,Lapas,Jawa Timur,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Narkotika Kelas IIA Pamekasan,Lapas,Jawa Timur,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Pemuda Kelas IIA Madiun,Lapas,Jawa Timur,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Perempuan Kelas IIA Malang,Lapas,Jawa Timur,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas I Surabaya,Rutan,Jawa Timur,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Bangil,Rutan,Jawa Timur,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
